Melbourne,Eastern,Pacific,Mountn,Central,UTC
00:00,10:00,07:00,08:00,09:00,14:00
01:00,11:00,08:00,09:00,10:00,15:00
02:00,12:00,09:00,10:00,11:00,16:00
03:00,13:00,10:00,11:00,12:00,17:00
04:00,14:00,11:00,12:00,13:00,18:00
05:00,15:00,12:00,13:00,14:00,19:00
06:00,16:00,13:00,14:00,15:00,20:00
07:00,17:00,14:00,15:00,16:00,21:00
08:00,18:00,15:00,16:00,17:00,22:00
09:00,19:00,16:00,17:00,18:00,23:00
10:00,20:00,17:00,18:00,19:00,00:00
11:00,21:00,18:00,19:00,20:00,01:00
12:00,22:00,19:00,20:00,21:00,02:00
13:00,23:00,20:00,21:00,22:00,03:00
14:00,00:00,21:00,22:00,23:00,04:00
15:00,01:00,22:00,23:00,00:00,05:00
16:00,02:00,23:00,00:00,01:00,06:00
17:00,03:00,00:00,01:00,02:00,07:00
18:00,04:00,01:00,02:00,03:00,08:00
19:00,05:00,02:00,03:00,04:00,09:00
20:00,06:00,03:00,04:00,05:00,10:00
21:00,07:00,04:00,05:00,06:00,11:00
22:00,08:00,05:00,06:00,07:00,12:00
23:00,09:00,06:00,07:00,08:00,13:00
